REGISTRO_OPERADORA;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
421642;00000000421642;EXCELÊNCIA PLANO DE SAÚDE S/A;MERIDIONAL SAÚDE;Medicina de Grupo;Rua Cassiano Antônio Moraes;111;;Enseada do Suá;Vitória;ES;29050525;27;40902010;;gustavo.knupp@meridionalsaude.com.br;GUSTAVO SOARES KNUPP;DIRETOR PRESIDENTE;5;16/04/2019
424471;00000000424471;EXCLUSIVO ODONTO ASSISTENCIA ODONTOLOGICA LTDA;EXCLUSIVO ODONTO ;Odontologia de Grupo;Rua Jurubatuba;845;Sala 10;Centro;São Bernardo do Campo;SP;9725900;11;981570591;;wagner@exclusivodonto.com.br;WAGNER DE OLIVEIRA BRAGA;ADMINISTRADOR;;14/04/2025
414204;00000000414204;EXTRAMED ADMINISTRAÇÃO E SERVIÇOS MÉDICOS LTDA;EXTRAMED;Administradora de Benefícios;RUA DESEMBARGADOR CLOTARIO PORTUGAL;243;;ALTO SAO FRANCISCO;Curitiba;PR;80410220;41;30688728;30688714;extramed@extramed.com.br;ILEANA MARIA IGLESIAS TEIXEIRA MOURA;DIRETORA PRESIDENTE;1;28/08/2001
423777;00000000423777;FEBRAFITE SAUDE;FEBRAFITE SAUDE;Autogestão;Q SRTVN;QUADRA 702 ;BLOCO P SALA 1057;ASA NORTE;Brasília;DF;70719900;61;3,32829E+15;;febrafitesaude@febrafite.org.br;CLEUDES CERQUEIRA DE FREITAS;DIRETOR PRESIDENTE;;04/03/2024
423581;00000000423581;FEDERAL ADMINISTRADORA DE BENEFICIOS LTDA;FEDERAL ADMINISTRADORA DE BENEFICIOS;Administradora de Benefícios;ST SRTVS QD. 701 CONJUNTO E BLOCO 3 SALA;S/N;;ASA SUL;Brasília;DF;70340901;21;988812666;;levi@federaladm.com.br;LEVI PEREIRA FIGUEIREDO NETO;ADMINISTRADOR;;26/06/2023
415626;00000000415626;FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA;UNIODONTO CATARINENSE;Cooperativa odontológica;RUA JOAO PESSOA;10;CASA;VELHA;Blumenau;SC;89036000;47;30418070;30418070;cpd@uniodontosc.com.br;MARCOS ADOLF PRINZ;Presidente;5;11/05/2006
313971;00000000313971;FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA;FAMA;Cooperativa Médica;RUA RIO AMAPA;374;CJ VIEIRA ALVES;NOSSA SRA DAS GRAÇAS;Manaus;AM;69053150;92;33038002;32330416;contabilidade@unimedfama.com.br;WILSON YOSHIMITSU NIWA;PRESIDENTE;5;21/12/1998
410888;00000000410888;FILOSANITAS SAUDE LTDA;SANTA FILOMENA SAUDE;Medicina de Grupo;Avenida Dois ;470;;CENTRO;Rio Claro;SP;13500410;19;35334200;35334200;filosanitas@santafilomena.com.br;LAFAYETTE PARREIRA DUARTE;DIRETOR ADMINISTRATIVO;6;03/03/2000
421847;00000000421847;FOCO ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA DOS FLAMBOYANTS DA PENÍNSULA;100;BLOCO 3, SALA 1207;BARRA DA TIJUCA;Rio de Janeiro;RJ;22776070;;;;michelle.innick@focosaudebr.com.br;MICHELLE INNICK RODRIGUES SILVA;ADMINISTRADOR;6;05/07/2019
423921;00000000423921;FOX SAÚDE ASSISTÊNCIA MÉDICA INTEGRADA LTDA;FOX SAÚDE;Medicina de Grupo;Rua Estado de Israel;262;Sala 0906;Ilha do Leite;Recife;PE;50070415;21;39535406;;Joao.figueiredo@foxsaude.com.br;JOÃO DE FIGUEIREDO PEREIRA CURADO;SOCIO ADMINISTRADOR ;;25/03/2024
419818;00000000419818;FR PLANO ODONTOLÓGICO LTDA;LODONTO ESPAÇO DO SORRISO;Odontologia de Grupo;AV. DOUTOR ARMANDO SALES DE OLIVEIRA;684;3º ANDAR;VILA TRUJILO;Sorocaba;SP;18060370;15;32110904;;ALESSANDRA@LODONTOSOROCABA.COM.BR;ROBERTO ARAÚJO SALLES DE SOUZA;SÓCIO ADMINISTRADOR;5;14/07/2015
370592;00000000370592;FUNASA SAÚDE;FUNASA SAÚDE;Medicina de Grupo;AV.EPITÁCIO PESSOA;1250;SL408 E OUTRAS;TORRE;João Pessoa;PB;58039040;83;32430911;32444220;diretoria@funasasaude.com.br;DANIELITA PINTO DE MORAIS;PRESIDENTE;5;28/12/1998
329665;00000000329665;FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV;CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE;Autogestão;AV. PRINCESA ISABEL;574;Sl 1303 a 1314 - BLOCO A - ED. PALAS CEN;CENTRO;Vitória;ES;29010930;27;21223900;21223931;faleconosco@capitalprev.com.br;ALINE FARDIM BORELLI;DIRETORA DE SEGURIDADE;5;28/12/1998
410292;00000000410292;FUNDACAO LEONOR DE BARROS CAMARGO;FUNDACAO LEONOR DE BARROS CAMARGO;Filantropia;AV.SAO GABRIEL ;201;16.ª ANDAR CONJ. 1606;JARDIM PAULISTA;São Paulo;SP;1435001;19;38018200;38018200;haoc@haoc.org.br;RENATO SARGO;SUPERINTENDENTE;5;20/12/1999
307751;00000000307751;FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;COMPESAPREV;Autogestão;RUA AUGUSTO RODRIGUES;60;;TORREÃO;Recife;PE;52030180;81;33662434;33662422;compesaprev@compesaprev.com.br;ALEXANDRE ARAUJO DE MORAES;DIRETOR PRESIDENTE;3;28/12/1998
315567;00000000315567;FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;FUNDAFFEMG;Autogestão;RUA SERGIPE;893;;FUNCIONÁRIOS;Belo Horizonte;MG;30130171;3;121035858;121035890;fundaffemg@fundaffemg.com.br;MUNIR NACIF MITRE;DIRETOR PRESIDENTE;3;21/12/1998
346926;00000000346926;FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA;FUNDAÇÃO ASSEFAZ;Autogestão;SCS QD. 4 BLOCO A ED. ASSEFAZ;1;;ASA SUL;Brasília;DF;70304908;61;32180100;32180105;assefaz@assefaz.org.br;GILDENORA BATISTA DANTAS;DIRETORA PRESIDENTE;1;16/12/1998
315044;00000000315044;FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS;FUNDAÇÃO CELESC;Autogestão;Hantei Office Building - R. Emílio Blum;131;8º ANDAR;CENTRO;Florianópolis;SC;88020010;48;32219510;32219510;dvrs@celos.com.br;PAULO CÉSAR DA SILVEIRA;Diretor de Seguridade;6;21/12/1998
315478;00000000315478;FUNDAÇÃO CESP;VIVEST;Autogestão;ALAMEDA SANTOS;2477;10 º ANDAR;CERQUEIRA CESAR;São Paulo;SP;1419907;11;30683100;30683049;saude@vivest.com.br;WALTER MENDES DE OLIVEIRA FILHO;DIRETOR PRESIDENTE;2;29/12/1998
317233;00000000317233;FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL;FACHESF;Autogestão;RUA DO PAISSANDU;58;;BOA VISTA;Recife;PE;50070205;81;34127555;;ans@fachesf.com.br;ARMANDO JOSÉ PEREIRA DE BARROS;PRESIDENTE;3;24/12/1998
355151;00000000355151;FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;FUNDAÇÃO COPEL;Autogestão;RUA TREZE DE MAIO;616;;SÃO FRANCISCO;Curitiba;PR;80510030;41;38836000;38836018;ans@fcopel.org.br;HEMERSON LUIZ BARBOSA PEDROSO;DIRETOR DE SEGURIDADE;3;29/12/1998
339636;00000000339636;FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES;FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES;Autogestão;AV REPÚBLICA DO CHILE;230;5º, 8º E 9º  ANDAR;CENTRO;Rio de Janeiro;RJ;20031170;21;38205200;;fapes.rotinaans@fapes.com.br;MARCELO DE FIGUEIREDO ALVES;Diretor de Seguridade;4;24/12/1998
420701;00000000420701;FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL;FAS/AMP/RS;Autogestão;AV. AURELIANO DE FIGUEIREDO PINTO;501;;PRAIA DE BELAS;Porto Alegre;RS;90050191;51;30222434;;contato@fasamprs.com.br;CLAUDIO BONATTO;DIRETOR PRESIDENTE;3;27/01/2017
311359;00000000311359;FUNDAÇÃO DE SAÚDE ITAIGUAPY;HOSPITAL ITAMED;Medicina de Grupo;AV. GRAMADO;580;;"VILA ""A""";Foz do Iguaçu;PR;85860460;45;35768011;35768060;diretoria@hmcc.com.br;GILMA R DE OLIVEIRA;DIRETOR SUPERINTENDENTE;3;23/12/1998
330809;00000000330809;FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;FUNSSEST;Autogestão;AV. BRIGADEIRO EDUARDO GOMES;526;POLO INDUSTRIAL TUBARÃO;SERRA;Serra;ES;29160904;27;33481210;33282245;saude.odonto@funssest.com.br;ALESSANDRA CRISTINA DE OLIVEIRA COSTA;DIRETORA EXECUTIVA;6;29/12/1998
418285;00000000418285;FUNDAÇÃO FIAT SAÚDE E BEM ESTAR;STELLANTIS SAUDE MG;Autogestão;AV. CONTORNO;3455; GALPãO 6, 2º ANDAR, PARTE A;PAULO CAMILO;Betim;MG;32669900;31;34023812;;juridicostellantissaude@stellantis.com;CRISTIANE DE OLIVEIRA ROQUE PAIXÃO;REPRESENTANTE LEGAL;4;10/11/2011
323942;00000000323942;FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;HOSPITAL ARNALDO GAVAZZA FILHO;Filantropia;AV. DR. JOSE GROSSI;16;;GUARAPIRANGA;Ponte Nova;MG;35430213;31;38195000;38195001;hagf@gavazza.com.br;LUCIMAR REGINA DE OLIVEIRA FONSECA;SUPERINTENDENTE EXECUTIVO ADJ;5;30/12/1998
378216;00000000378216;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;FUNDAÇÃO LIBERTAS;Autogestão;AV. ÁLVARES CABRAL;200;8º ANDAR;CENTRO;Belo Horizonte;MG;30170000;31;21113700;21113687;compliance@fundacaolibertas.com.br;ALESSANDRA GUIMARAES ROCHA;DIRETORA PRESIDENTE;4;28/12/1998
418501;00000000418501;FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA;PLAMHUV;Medicina de Grupo;TRAVESSA DR. FELÍCIO BRANDI;22;LOJA 01 - ED REGINA LOPES DOS SANTOS;CENTRO;Viçosa;MG;36570000;;;;plamhuv@plamhuv.com.br;MOWGON CARLOS LARA DE AZEVEDO;Representante Legal;6;03/05/2012
338648;00000000338648;FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;Autogestão;Rua Emiliano Perneta;777;;CENTRO;Curitiba;PR;80420080;41;33079100;;governanca@fusan.com.br;RAFAEL STEC TOLEDO;DIRETOR PRESIDENTE;3;17/12/1998
312126;00000000312126;FUNDAÇÃO SAÚDE ITAÚ;FUNDAÇÃO SAÚDE ITAÚ;Autogestão;RUA CURITIBA;689;11º ANDAR;CENTRO;Belo Horizonte;MG;30170120;11;27331283;;fabiana.duarte@itau-unibanco.com.br;DIEGO ALTAREJO MUNHOZ;REPRESENTANTE;1;17/12/1998
339954;00000000339954;FUNDAÇÃO SÃO FRANCISCO XAVIER;HOSPITAL MÁRCIO CUNHA;Filantropia;AV. KIYOSHI TSUNAWAKI;41;;BAIRRO DAS ÀGUAS;Ipatinga;MG;35160158;31;38299050;38251264;usisaude@fsfx.com.br;FLAVIANO FEU VENTORIM;Diretor Presidente;4;16/12/1998
418129;00000000418129;FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO;FAMEH/MP;Autogestão;RUA MENDEL;306;SALA 1;CARANDÁ BOSQUE I;Campo Grande;MS;79032320;67;33263882;;fameh.mp@fameh.org.br;EDGAR ROBERTO LEMOS DE MIRANDA;DIRETOR PRESIDENTE;3;13/07/2011
414689;00000000414689;FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC;FAMED;Autogestão;RUA ANTONIO AUGUSTO;1271;SL 301;ALDEOTA;Fortaleza;CE;60110370;85;32521826;32521118;saudefamed@gmail.com;JOSÉ EDMAR LIMA MELO;PRESIDENTE;5;17/10/2003
409286;00000000409286;G & M ASSESSORIA MEDICA EMPRESARIAL LTDA;LIFE LAGOS SAUDE;Medicina de Grupo;AVENIDA SÃO PEDRO ;455;;ESTAÇÃO ;São Pedro da Aldeia;RJ;28940000;22;26211165;;administracao@lifelagos.com.br;TERESINHA GOMES DA SILVA;SOCIA GERENTE;6;22/10/1999
419443;00000000419443;G2C ADMINISTRADORA DE BENEFICIOS LTDA - ME;;Administradora de Benefícios;RUA DA ASSEMBLEIA ;10;SALAS 2001 A 2003;CENTRO;Rio de Janeiro;RJ;20011000;21;35531692;;juridico@g2cadministradora.com.br;SERGIO BASTOS GUIMARÃES;ADMINISTRADOR;3;13/08/2014
407011;00000000407011;GAMA SAUDE LTDA.;GAMA SAUDE LTDA.;Medicina de Grupo;ALAMEDA XINGU;512;17 ANDAR, SALA 1704;ALPHAVILLE CENTRO INDUSTRIAL E;Barueri;SP;6455030;11;33368624;41977862;juridico.gama@gamasaude.com.br;FERNANDO ALVES VIEIRA;SÓCIO;1;03/08/1999
343064;00000000343064;GARANTIA DE SAÚDE LTDA;GARANTIA DE SAÚDE;Medicina de Grupo;RUA AMÉRICO GOMES DA COSTA;114;;VILA AMERICANA;São Paulo;SP;8010120;11;20588500;;demandainicial.ans@garantiasaude.com.br;JOSE KRAUTHAMER;DIRETOR;4;22/12/1998
419931;00000000419931;GEAC - GERENCIAMENTO EMPRESARIAL LTDA;;Administradora de Benefícios;RUA DOM PEDRO II;54;SALA 506;CENTRO;Santos;SP;11010080;13;32335351;;joaobolzan@uol.com;JOÃO BOLZAN NETO;ADMINISTRADOR;6;28/10/2015
323080;00000000323080;GEAP AUTOGESTÃO EM SAÚDE;GEAP;Autogestão;TERRAÇO SHOPPING SHC-AO SUL, EA 02/08 LO;5;TR.B 3º ANDAR;OCTOGONAL SUL;Brasília;DF;70660900;61;21034569;;ans@geap.com.br;DOUGLAS VICENTE FIGUEREDO;DIRETOR-PRESIDENTE;1;22/12/1998
424226;00000000424226;GESTAO VIDA ADMINISTRADORA DE BENEFICIOS LTDA.;;Administradora de Benefícios;RUA BARÃO DE ITAPETININGA;125;CONJ. 11;REPUBLICA;São Paulo;SP;10420010;11;9788169768;;gestaovidaadm@gmail.com;CLAUDINEI GONCALEZ;SOCIO ADMINISTRADOR;;16/12/2024
423076;00000000423076;GESTÃO ADMINISTRADORA DE PLANOS DE SAUDE LTDA;;Administradora de Benefícios;RUA DO CARMO;8;6 ANDAR;CENTRO;Rio de Janeiro;RJ;20011020;;;;diretoria@gestaoplanodesaude.com.br;MATHEUS MOURA DE LIMA;REPRESENTANTE LEGAL;;26/10/2021
416819;00000000416819;GKN DO BRASIL LTDA;;Autogestão;RUA JOAQUIM SILVEIRA;557;PARQUE SAO SEBASTIAO;PASSO DA MANGUEIRA;Porto Alegre;RS;91060320;51;33499491;33499210;claudio.raiter@gkndriveline.com;CLAUDIO FERNANDO CIPOLATTI RAITER;DIRETOR DE RH;4;16/01/2009
422258;00000000422258;GLOBAL-AL ADMINISTRADORA DE BENEFÍCIOS LTDA;GLOBAL ADMINISTRADORA DE BENEFÍCIOS LTDA;Administradora de Benefícios;R Doutor Pedro Correia;5;Sala 09;Centro;Arapiraca;AL;57300400;82;996964041;;administracao@globalalbeneficios.com.br;ANTONIO SOARES RODRIGUES NETO;Administrador;6;04/08/2020
422681;00000000422681;GOCARE PLANOS DE SAUDE LTDA;;Medicina de Grupo;RUA ERASMO BRAGA;1175;;JARDIM CHAPADAO;Campinas;SP;13070147;19;31992588;;presidencia@gocaresaude.com.br;TÂNIA MARA MACHADO ANTONIO;sócia administradora;;04/03/2021
423726;00000000423726;GOLD PLAN EMPREENDIMENTOS LTDA;GOLD PLAN.;Odontologia de Grupo;RUA ANTONIO NOVATO;16;SALA 4;CENTRO;Pará de Minas;MG;35660008;37;32317525;;comercial@goldplanodonto.com.br;THIAGO SOARES DA COSTA;DIRETOR PRESIDENTE;;25/09/2023
424587;00000000424587;GRINGO PLANOS ODONTOLOGICOS LTDA;GRINGO PLANOS ODONTOLOGICOS ;Odontologia de Grupo;RUA MARANHÃO ;615;SALA 03;CONEGO GETULIO ;Patos de Minas;MG;38700204;34;38144080;;CONTATO@SUPPORTCONTABILIDADEMG.COM.BR;ADEAR XAVIER ALEIXO ;SÓCIO ADMINISTRADOR ;;08/09/2025
309222;00000000309222;GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;ASSIM SAÚDE;Medicina de Grupo;AV. PRESIDENTE VARGAS ;914;LOJAS A e B, salas 310,410,510,610,710;CENTRO;Rio de Janeiro;RJ;20071001;21;21029781;21029722;assim@assim.com.br;WAYNE GORDON VENTER;DIRETOR DE PLANEJAMENTO E ORÇAMENTO;3;18/12/1998
413160;00000000413160;GS PLANO GLOBAL DE SAÚDE LTDA;GS;Medicina de Grupo;RUA FERNANDO BIZZOTO;90;A;CENTRO;Nova Friburgo;RJ;28613040;22;25245500;;planogs@planogs.com.br;JOSÉ CARLOS VERBICÁRIO DANTAS DOS SANTOS JÚNIOR;DIRETOR ADMINISTRATIVO;5;16/02/2001
350249;00000000350249;H.B. SAÚDE S/A.;HAPVIDA SAO JOSE DO RIO PRETO;Medicina de Grupo;AV. JOSÉ MUNIA;6250;;JARDIM FRANCISCO FERNANDES;São José do Rio Preto;SP;15090275;;;;cians@hapvida.com.br;LUIZ CELSO DIAS LOPES;REPRESENTANTE LEGAL DA OPERADORA;5;16/12/1998
423122;00000000423122;H2U ADMINISTRADORA DE BENEFICIOS LTDA.;H2U ADMINISTRADORA;Administradora de Benefícios;ALAMEDA TOCATINS;75;SALA 901;ALPHAVILLE;Barueri;SP;6455020;;;;giuliano.varela@gmail.com;CARLOS RICARDO SQUILLACI;ADMINISTRADOR;5;04/01/2022
368253;00000000368253;HAPVIDA ASSISTENCIA MEDICA S.A.;HAPVIDA;Medicina de Grupo;AV HERÁCLITO GRAÇA;406;2º ANDAR;CENTRO;Fortaleza;CE;60140060;85;32559189;;ans.ndi@hapvida.com.br;LUIZ CELSO DIAS LOPES;REPRESENTANTE DA PESSOA JURÍDICA JUNTO A;5;17/12/1998
414352;00000000414352;HBC SAÚDE LTDA.;HBC SAÚDE;Medicina de Grupo;AVENIDA GUARULHOS;239;;PARQUE ESTRELA - CENTRO;Guarulhos;SP;7023000;11;24423344;26032177;controladoria@hbcsaude.com.br;FABIO FARINELLI;REPRESENTANTE LEGAL;6;06/08/2002
417611;00000000417611;HEALTH ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA CONCEIÇÃO DE MONTE ALEGRE;198;CONJ 91 - 9º ANDAR;BROOKLIN PAULISTA;São Paulo;SP;4563060;11;37772470;;health@healthbr.com.br;ARNALDO DA SILVA CESAR COUTINHO;ADMINISTRADOR;6;04/11/2010
421723;00000000421723;HEALTH-MED SISTEMA DE SAUDE LTDA;HEALTH-MED;Medicina de Grupo;AVENIDA RIO BRANCO;125;15º ANDAR;CENTRO;Rio de Janeiro;RJ;20040006;21;36130001;;juridico-nw@healthmedsaude.com.br;MARIA GERALDINE COUCEIRO;SOCIA ADMINISTRADORA;4;30/04/2019
424749;00000000424749;HEALTHY LIFE ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;RUA ARMANDO D'OLIVEIRA COBRA;50;SALA 1617;SERIMBURA;São José dos Campos;SP;12246002;61;96651147;;HEALTHYLIFE2331@GMAIL.COM;PAULO MOREIRA BRAZ;SOCIO ADMINISTRADOR;;12/01/2026
419303;00000000419303;HEBROM ADMINISTRADORA DE BENEFICIOS LTDA. - ME;;Administradora de Benefícios;RUA CONSELHEIRO CRISPINIANO;69;SALA 72;REPUBLICA;São Paulo;SP;1037001;11;31512488;31512488;TONYYRODRIGO@HOTMAIL.COM;ANTONIO RODRIGUES FILHO;SóCIO ADMINISTRADOR;2;25/02/2014
423670;00000000423670;HES PLANO DE SAUDE LTDA;;Odontologia de Grupo;RUA VILAGRA CABRITA;986;SALA C;CENTRO;Ji-Paraná;RO;76900018;69;34221788;;planodontohes@gmail.com;SANDRO LUCIO DA SILVA;ADMINISTRADOR;;07/08/2023
424137;00000000424137;HOME ADMINISTRADORA DE BENEFÍCIOS LTDA;HOME BENEFICIOS;Administradora de Benefícios;AV PRESIDENTE GETULIO VARGAS;2707;SALA 04;CENTRO;Floresta;PR;87120000;44;303151517;;contas@cdmseguros.com.br;ORLANDO TELLES WHATELY;Sócio Administrador;;17/06/2024
416398;00000000416398;HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA;INTERMED;Medicina de Grupo;RUA AMAPÁ;65;;ILHOTAS;Teresina;PI;64001140;;;;assuntosregulatorios@intermed-pi.com.br;NEWTON NUNES DE LIMA FILHO;REPRESENTANTE JUNTO À ANS;5;26/09/2007
314706;00000000314706;HOSPITAL CESAR LEITE;HOSPITAL CESAR LEITE;Filantropia;PRAÇA DR CÉSAR LEITE;383;;CENTRO;Manhuaçu;MG;36900000;33;33396909;;plancelhcl@gmail.com;LEANDRO SATLER CAMPOS;DIRETOR DO PLANCEL;6;22/12/1998
420930;00000000420930;HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO;HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO;Filantropia;RUA MARECHAL FLORIANO PEIXOTO;1059;;CENTRO;Guarapuava;PR;85010270;42;36217800;;direcao@hospitalsaovicente.org.br;HUBERTO JOSÉ LIMBERGER;PROVEDOR;5;25/10/2017
424391;00000000424391;HOSPITAL DE CLÍNICAS DE PASSO FUNDO;HC HCPF;Filantropia;Rua Tiradentes;295;;Centro;Passo Fundo;RS;99010260;54;21033370;;ines.xavier@hcpf.com.br;PAULO ADIL FERENCI;Presidente;;24/03/2025
341941;00000000341941;HOSPITAL DE PRONTOCLINICA LTDA.;HOSPITAL DE PRONTOCLINICA LTDA.;Medicina de Grupo;RUA ARTHUR LEITE;37;;CENTRO;Passo Fundo;RS;99020220;54;33135100;543135492;planodesaude@prontoclinicas.com.br;JULMAR INACIO BIANCINI;RESPONSAVEL TECNICO;6;22/12/1998
421626;00000000421626;HOSPITAL MATER DEI SA ;;Autogestão;Rua Mato Grosso;1100;S/N;Santo Agostinho;Belo Horizonte;MG;30190088;31;33399199;;materdeisaude@materdei.com.br;HENRIQUE MORAES SALVADOR SILVA;Diretor Presidente;;18/02/2019
424129;00000000424129;HOSPITAL MATERNIDADE SÃO VICENTE DE PAULO;HOSPITAL MATERNIDADE SÃO VICENTE DE PAULO;Filantropia;Av. Cel. João Coelho;299;;Centro;Barbalha;CE;63090009;88;988428868;;projetos@saovicente.org.br;SHAIRON ALEXANDRE LANDIM ROLIM;Representante da Operador;;17/06/2024
363189;00000000363189;HOSPITAL S.P. LTDA.;PRONTOCLÍNICA;Medicina de Grupo;RUA BENTO GONÇALVES ;578;CONJ. 910;CENTRO;Passo Fundo;RS;99010010;54;33135100;;faturamento@prontoclinicas.com.br;JULMAR INÁCIO BIANCINI;SOCIO DIRETOR;5;22/12/1998
342955;00000000342955;HSMED SAUDE LTDA;HSMED SAÚDE;Medicina de Grupo;AV. PASTOR MARTIN LUTHER KING JUNIOR;7.406;;IRAJÁ;Rio de Janeiro;RJ;21235000;;;;direcao.climesa@gmail.com;PABLO LIMA DE MENDONCA;SOCIO ADMINISTRADOR;4;06/01/1999
423343;00000000423343;HUB HEALTH ADMINISTRADORA DE BENEFICIOS LTDA ;HUB HEALTH  ;Administradora de Benefícios;RUA PINTOR LULA CARDOSO AYRES;3196;;IBURA;Recife;PE;51200250;;;;ronaldo@dcampos.com.br;VALDEMES MARIA BEZERRA DA SILVA ;SOCIA - ADMINISTRADORA;;21/07/2022
348180;00000000348180;HUMANA SAÚDE LTDA.;HUMANA SAÚDE;Medicina de Grupo;AVENIDA BRASIL;3825;;ZONA 01;Maringá;PR;1431001;44;30282000;;fabio.hirota@athenasaude.com.br;FÁBIO MINAMISAWA HIROTA;REPRESENTANTE;1;22/12/1998
357511;00000000357511;HUMANA SAÚDE NORDESTE LTDA. ;HUMANA SAUDE;Medicina de Grupo;AV. FREI SERAFIM;2155;;CENTRO;Teresina;PI;64000020;86;32232233;32237440;humana@humanasaude.com.br;FÁBIO MINAMISAWA HIROTA;REPRESENTANTE;2;29/12/1998
417050;00000000417050;IBBCA 2008 GESTÃO EM SAÚDE LTDA;IBBCA GESTÃO;Administradora de Benefícios;AV. JOSÉ SILVA DE AZEVEDO NETO;200;EVOLUTION 3 BL. 2 GRUPOS 101, 103 E 108;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775056;21;36132400;39745550;monica.bispo@ibbca.com.br;MONICA BASUS BISPO;REPRESENTANTE;4;31/07/2009
423840;00000000423840;IDEAL ADMINISTRADORA DE BENEFICIOS LTDA;IDEALL SOLUÇÕES EM SAUDE E VIDA;Administradora de Benefícios;AVENIDA RIO GRANDE DO SUL;1421;;CENTRO;Marechal Cândido Rondon;PR;85690000;45;20388000;;ANACAROLINASEYBOTH@GMAIL.COM;ANA CAROLINA HILDEBRAND SEYBOTH;SÓCIA ADMINISTRADORA;;02/01/2024
414921;00000000414921;IDEAL ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA.;;Odontologia de Grupo;Rua Alexandre Dumas;2100;12º andar;Chácara Santo Antônio ;São Paulo;SP;4717913;;;;josepaulo@me.com;JOSÉ PAULO PEREIRA SILVA;SÓCIO ADMINISTRADOR;4;17/08/2004
420751;00000000420751;IDEAL SAÚDE ASSISTÊNCIA MÉDICA AMBULATORIAL LTDA;IDEAL SAÚDE;Medicina de Grupo;Setor SCIA Quadra 14 Conjunto 3;LOTE 03;Zona Industrial (Guará),;GUARA;Brasília;DF;71250115;61;32421250;;diretoria@planoidealsaude.com.br;WILMA SALVIANO DE MEDEIROS MATOS;SÓCIO ADMINISTRADOR;4;18/01/2017
414557;00000000414557;IDENTAL ASSISTÊNCIA ODONTOLÓGICA LTDA - ME;IDENTAL;Odontologia de Grupo;RUA SÃO PEDRO;88;SALA 201/EDIF SAFIRA;RIO VERMELHO;Salvador;BA;41920260;71;40039292;34832717;contabilidade@atemde.com.br;ANTÔNIO CLEITON VIEIRA GURGEL;DIR. ADMINISTRATIVO/FINANCEIRO;5;08/04/2003
421812;00000000421812;IMPETU ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de Benefícios;AVENIDA REPUBLICA ARGENTINA;1336;CJ 1216 - ANDAR 12 - COND. INSPIRA BUSIN;VILA IZABEL;Curitiba;PR;80620010;11;48902259;;contato@impetu.com.br;JULIANA JOSE DOS SANTOS OLIVEIRA;SÓCIA- ADMINISTRADORA;6;23/08/2019
